Column	Change to
ESSA Goal Percent Graduation 4 -Year Cohort (All Students)	essa_goal_graduation_four_year_all
ESSA Goal Percent Regular Attendance (All Student)	essa_goal_regular_attendance_all
Female (School)	school_female
Foster Care	school_foster_care
Goal Annual Progress Percent Proficient or Advanced on Science/Biology (Combined Ethnicity)	ignore
Grades Offered	school_grades_offered
Hispanic	school_hispanic
Homeless	school_homeless
Intermediate Unit Name	ignore
Intermediate Unit Website	ignore
Male (School)	school_male
Meeting Annual Academic Growth Expectations (PVAAS) ELA/Literature (Combined Ethnicity)	english_growth_combined_ethnicity
Meeting Annual Academic Growth Expectations (PVAAS) Mathematics/Algebra 1 (Combined Ethnicity)	math_growth_combined_ethnicity
Meeting Annual Academic Growth Expectations (PVAAS) Science/Biology (Combined Ethnicity)	science_growth_combined_ethnicity
Meeting Annual Academic Growth Expectations ELA/Literature (2 or More Races)	english_growth_multiracial
Meeting Annual Academic Growth Expectations ELA/Literature (All Student)	english_growth_all
Meeting Annual Academic Growth Expectations ELA/Literature (American Indian/Alaska Native)	english_growth_american_indian_native_alaskan
Meeting Annual Academic Growth Expectations ELA/Literature (Asian)	english_growth_asian
Meeting Annual Academic Growth Expectations ELA/Literature (Black)	english_growth_black
Meeting Annual Academic Growth Expectations ELA/Literature (Economically Disadvantaged)	english_growth_poor
Meeting Annual Academic Growth Expectations ELA/Literature (English Learner)	english_growth_english_learner
Meeting Annual Academic Growth Expectations ELA/Literature (Hawaiian/Pacific Islander)	english_growth_hawaiian_pacific_islander
Meeting Annual Academic Growth Expectations ELA/Literature (Hispanic)	english_growth_hispanic
Meeting Annual Academic Growth Expectations ELA/Literature (Students with Disabilities)	english_growth_sped
Meeting Annual Academic Growth Expectations ELA/Literature (White)	english_growth_white
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (2 or More Races)	math_growth_multiracial
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (All Student)	math_growth_all
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (American Indian/Alaska Native)	math_growth_american_indian_alaskan_native
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (Asian)	math_growth_asian
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (Black)	math_growth_black
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (Economically Disadvantaged)	math_growth_poor
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (English Learner)	math_growth_english_learner
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (Hawaiian/Pacific Islander)	math_growth_hawaiian_pacific_islander
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (Hispanic)	math_growth_hispanic
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (Students with Disabilities)	math_growth_sped
Meeting Annual Academic Growth Expectations Mathematics/Algebra 1 (White)	math_growth_white
Meeting Annual Academic Growth Expectations Science/Biology (2 or More Races)	science_growth_multiracial
Meeting Annual Academic Growth Expectations Science/Biology (All Student)	science_growth_all
Meeting Annual Academic Growth Expectations Science/Biology (American Indian/Alaska Native)	science_growth_american_india_alaskan_native
Meeting Annual Academic Growth Expectations Science/Biology (Black)	science_growth_black
Meeting Annual Academic Growth Expectations Science/Biology (Economically Disadvantaged)	science_growth_poor
Meeting Annual Academic Growth Expectations Science/Biology (English Learner)	science_growth_english_learner
Meeting Annual Academic Growth Expectations Science/Biology (Hawaiian/Pacific Islander)	science_growth_hawaiian_pacific_islander
Meeting Annual Academic Growth Expectations Science/Biology (Hispanic)	science_growth_hispanic
Meeting Annual Academic Growth Expectations Science/Biology (Students with Disabilities)	science_growth_sped
Meeting Annual Academic Growth Expectations Science/Biology (White)	science_growth_white
Meeting Annual Academic Growth Expectations Science/Biology1 (Asian)	science_growth_asian
Military Connected	ignore
Name (District 1)	ignore
Name (District 2)	ignore
Native Hawaiian or other Pacific Islander	school_hawaiian_pacific_islander
Number (District 1)	ignore
Number (District 2)	ignore
Number of Advanced Placement (AP)/ International Baccalaureate (IB) , and Dual Enrollment Unique Courses	school_advanced_courses_count
Number of Students Enrolled in a Concentrated POS Provided by CTC	ignore
Number of Students Enrolled in a Concentrated POS provided in LEA	ignore
Percent (District 1)	ignore
Percent (District 2)	ignore
Percent Advanced ELA/Literature (2 or More Races)	english_advanced_multiracial
Percent Advanced ELA/Literature (All Student)	english_advanced_all
Percent Advanced ELA/Literature (American Indian/Alaska Native)	english_advanced_american_indian_alaskan_native
Percent Advanced ELA/Literature (Asian)	english_advanced_asian
Percent Advanced ELA/Literature (Black)	english_advanced_black
Percent Advanced ELA/Literature (Combined Ethnicity)	english_advanced_combined_ethnicity
Percent Advanced ELA/Literature (Ecomically Disadvantaged)	english_advanced_poor
Percent Advanced ELA/Literature (English Learner)	english_advanced_english_learner
Percent Advanced ELA/Literature (Hawaiian/Pacific Islander)	english_advanced_hawaiian_pacific_islander
Percent Advanced ELA/Literature (Hispanic)	english_advanced_hispanic
Percent Advanced ELA/Literature (Students with Disabilities)	english_advanced_sped
Percent Advanced ELA/Literature (White)	english_advanced_white
Percent Advanced Industry Standards-Based Competency Assessments (2 or More Races)	ignore
Percent Advanced Industry Standards-Based Competency Assessments (American Indian/Alaska Native)	ignore
Percent Advanced Industry Standards-Based Competency Assessments (Asian)	ignore
Percent Advanced Industry Standards-Based Competency Assessments (Black)	ignore
Percent Advanced Industry Standards-Based Competency Assessments (Ecomically Disadvantaged)	ignore
Percent Advanced Industry Standards-Based Competency Assessments (English Learner)	ignore
Percent Advanced Industry Standards-Based Competency Assessments (Hawaiian/Pacific Islander)	ignore
Percent Advanced Industry Standards-Based Competency Assessments (Hispanic)	ignore
Percent Advanced Industry Standards-Based Competency Assessments (White)	ignore
Percent Advanced Industry Standards-Based Competency Assessments(All Student Group)	ignore
Percent Advanced Industry Standards-Based Competency Assessments(Students with Disabilities)	ignore
Percent Advanced Industry-Based Competency Assessments (2 or More Races)	ignore
Percent Advanced Industry-Based Competency Assessments (All Student Group)	ignore
Percent Advanced Industry-Based Competency Assessments (American Indian/Alaska Native)	ignore
Percent Advanced Industry-Based Competency Assessments (Asian)	ignore
Percent Advanced Industry-Based Competency Assessments (Black)	ignore
Percent Advanced Industry-Based Competency Assessments (Ecomically Disadvantaged)	ignore
Percent Advanced Industry-Based Competency Assessments (English Learner)	ignore
Percent Advanced Industry-Based Competency Assessments (Hawaiian/Pacific Islander)	ignore
Percent Advanced Industry-Based Competency Assessments (Hispanic)	ignore
Percent Advanced Industry-Based Competency Assessments (Students with Disabilities)	ignore
Percent Advanced Industry-Based Competency Assessments (White)	ignore
Percent Advanced Mathematics/Algebra 1 (2 or More Races)	math_advanced_multiracial
Percent Advanced Mathematics/Algebra 1 (All Student)	math_advanced_all
Percent Advanced Mathematics/Algebra 1 (American Indian/Alaska Native)	math_advanced_american_indian_alaskan_native
Percent Advanced Mathematics/Algebra 1 (Asian)	math_advanced_asian
Percent Advanced Mathematics/Algebra 1 (Black)	math_advanced_black
Percent Advanced Mathematics/Algebra 1 (Ecomically Disadvantaged)	math_advanced_poor
Percent Advanced Mathematics/Algebra 1 (English Learner)	math_advanced_english_learner
Percent Advanced Mathematics/Algebra 1 (Hawaiian/Pacific Islander)	math_advanced_hawaiian_pacific_islander
Percent Advanced Mathematics/Algebra 1 (Hispanic)	math_advanced_hispanic
Percent Advanced Mathematics/Algebra 1 (Students with Disabilities)	math_advanced_sped
Percent Advanced Mathematics/Algebra 1 (White)	math_advanced_white
Percent Advanced on Mathematics/Algebra 1 (Combined Ethnicity)	math_advanced_combined_ethnicity
Percent Advanced on Science/Biology (Combined Ethnicity)	science_advanced_combined_ethnicity
Percent Advanced Science/Biology (2 or More Races)	science_advanced_multiracial
Percent Advanced Science/Biology (All Student)	science_advanced_all
Percent Advanced Science/Biology (American Indian/Alaska Native)	science_advanced_american_indian_alaskan_native
Percent Advanced Science/Biology (Asian)	science_advanced_asian
Percent Advanced Science/Biology (Black)	science_advanced_black
Percent Advanced Science/Biology (Ecomically Disadvantaged)	science_advanced_poor
Percent Advanced Science/Biology (English Learner)	science_advanced_english_learner
Percent Advanced Science/Biology (Hawaiian/Pacific Islander)	science_advanced_hawaiian_pacific_islander
Percent Advanced Science/Biology (Hispanic)	science_advanced_hispanic
Percent Advanced Science/Biology (Students with Disabilities)	science_advanced_sped
Percent Advanced Science/Biology (White)	science_advanced_white
Percent AP/IB Participation	ap_ib_participation
Percent Career Standards Benchmark (2 or More Races)	ignore
Percent Career Standards Benchmark (All Student)	ignore
Percent Career Standards Benchmark (American Indian/Alaska Native)	ignore
Percent Career Standards Benchmark (Asian)	ignore
Percent Career Standards Benchmark (Black)	ignore
Percent Career Standards Benchmark (Economically Disadvantaged)	ignore
Percent Career Standards Benchmark (English Learner)	ignore
Percent Career Standards Benchmark (Hawaiian/Pacific Islander)	ignore
Percent Career Standards Benchmark (Hispanic)	ignore
Percent Career Standards Benchmark (Students with Disabilities)	ignore
Percent Career Standards Benchmark (White)	ignore
Percent College Course Enrollment	college_course_enrollment
Percent CTE Program of Study Concentration	ignore
Percent ELA/Literature Test Participation (2 or More Races)	english_test_participation_multiracial
Percent ELA/Literature Test Participation (All Student Group)	english_test_participation_all
Percent ELA/Literature Test Participation (American Indian/Alaska Native)	english_test_participation_american_indian_alaskan_native
Percent ELA/Literature Test Participation (Asian)	english_test_participation_asian
Percent ELA/Literature Test Participation (Black)	english_test_participation_black
Percent ELA/Literature Test Participation (Combined Ethnicity)	english_test_participation_combined_ethnicity
Percent ELA/Literature Test Participation (Economically Disadvantaged)	english_test_participation_poor
Percent ELA/Literature Test Participation (English Learner)	english_test_participation_english_learner
Percent ELA/Literature Test Participation (Hawaiian/Pacific Islander)	english_test_participation_hawaiian_pacific_islander
Percent ELA/Literature Test Participation (Hispanic)	english_test_participation_hispanic
Percent ELA/Literature Test Participation (Students with Disabilities)	english_test_participation_sped
Percent ELA/Literature Test Participation (White)	english_test_participation_white
Percent English Language Growth and Attainment (2 or More Races)	ignore
Percent English Language Growth and Attainment (All Student)	ignore
Percent English Language Growth and Attainment (American Indian/Alaska Native)	ignore
Percent English Language Growth and Attainment (Asian)	ignore
Percent English Language Growth and Attainment (Black)	ignore
Percent English Language Growth and Attainment (Economically Disadvantaged)	ignore
Percent English Language Growth and Attainment (English Learner)	ignore
Percent English Language Growth and Attainment (Hawaiian/Pacific Islander)	ignore
Percent English Language Growth and Attainment (Hispanic)	ignore
Percent English Language Growth and Attainment (Students with Disabilities)	ignore
Percent English Language Growth and Attainment (White)	ignore
Percent English Language Proficiency (2 or More Races)	english_proficiency_multiracial
Percent English Language Proficiency (American Indian/Alaska Native)	english_proficiency_american_indian_alaskan_native
Percent English Language Proficiency (Asian)	english_proficiency_asian
Percent English Language Proficiency (Black)	english_proficiency_black
Percent English Language Proficiency (Combined Ethnicity)	english_proficiency_combined_ethnicity
Percent English Language Proficiency (Economically Disadvantaged)	english_proficiency_poor
Percent English Language Proficiency (English Learner)	english_proficiency_english_learner
Percent English Language Proficiency (Hawaiian/Pacific Islander)	english_proficiency_hawaiian_pacific_islander
Percent English Language Proficiency (Hispanic)	english_proficiency_hispanic
Percent English Language Proficiency (Students with Disabilities)	english_proficiency_sped
Percent English Language Proficiency (White)	english_proficiency_white
Percent Grade 3 Reading (2 or More Races)	third_grade_reading_multiracial
Percent Grade 3 Reading (All Student)	third_grade_reading_all
Percent Grade 3 Reading (American Indian/Alaska Native)	third_grade_reading_american_indian_alaskan_native
Percent Grade 3 Reading (Asian)	third_grade_reading_asian
Percent Grade 3 Reading (Black)	third_grade_reading_black
Percent Grade 3 Reading (Economically Disadvantaged)	third_grade_reading_poor
Percent Grade 3 Reading (English Learner)	third_grade_reading_english_learner
Percent Grade 3 Reading (Hawaiian/Pacific Islander)	third_grade_reading_hawaiian_pacific_islander
Percent Grade 3 Reading (Hispanic)	third_grade_reading_hispanic
Percent Grade 3 Reading (Students with Disabilities)	third_grade_reading_sped
Percent Grade 3 Reading (White)	third_grade_reading_white
Percent Grade 5, Grade 8, and/or Grade 11 Career Standards Benchmark (Combined Ethnicity)	ignore
Percent Grade 7 Mathematics (2 or More Races)	seventh_grade_math_multiracial
Percent Grade 7 Mathematics (All Student)	seventh_grade_math_all
Percent Grade 7 Mathematics (American Indian/Alaska Native)	seventh_grade_math_american_indian_alaskan_native
Percent Grade 7 Mathematics (Asian)	seventh_grade_math_asian
Percent Grade 7 Mathematics (Black)	seventh_grade_math_black
Percent Grade 7 Mathematics (Economically Disadvantaged)	seventh_grade_math_poor
Percent Grade 7 Mathematics (English Learner)	seventh_grade_math_english_learner
Percent Grade 7 Mathematics (Hawaiian/Pacific Islander)	seventh_grade_math_hawaiian_pacific_islander
Percent Grade 7 Mathematics (Hispanic)	seventh_grade_math_hispanic
Percent Grade 7 Mathematics (Students with Disabilities)	seventh_grade_math_sped
Percent Grade 7 Mathematics (White)	seventh_grade_math_white
Percent Graduates Enlisted in the Military (All Students)	military_grads_all
Percent Graduates Enlisted Military (2 or More Races)	military_grads_multiracial
Percent Graduates Enlisted Military (American Indian/Alaska Native)	military_grads_american_indian_alaskan_native
Percent Graduates Enlisted Military (Asian)	military_grads_asian
Percent Graduates Enlisted Military (Black)	military_grads_black
Percent Graduates Enlisted Military (Economically Disadvantaged)	military_grads_poor
Percent Graduates Enlisted Military (English Learner)	military_grads_english_learner
Percent Graduates Enlisted Military (Hispanic)	military_grads_hispanic
Percent Graduates Enlisted Military (Students with Disabilities)	military_grads_sped
Percent Graduates Enlisted Military (White)	military_grads_white
Percent Graduates Enlisted Military(Hawaiian/Pacific Islander)	military_grads_hawaiian_pacific_islander
Percent Graduates Entered Pennsylvania Workforce (2 or More Races)	workforce_grads_multiracial
Percent Graduates Entered Pennsylvania Workforce (All Students)	workforce_grads_all
Percent Graduates Entered Pennsylvania Workforce (American Indian/Alaska Native)	workforce_grads_american_indian_alaskan_native
Percent Graduates Entered Pennsylvania Workforce (Asian)	workforce_grads_asian
Percent Graduates Entered Pennsylvania Workforce (Black)	workforce_grads_black
Percent Graduates Entered Pennsylvania Workforce (Economically Disadvantaged)	workforce_grads_poor
Percent Graduates Entered Pennsylvania Workforce (English Learner)	workforce_grads_english_learner
Percent Graduates Entered Pennsylvania Workforce (Hawaiian/Pacific Islander)	workforce_grads_hawaiian_pacific_islander
Percent Graduates Entered Pennsylvania Workforce (Hispanic)	workforce_grads_hispanic
Percent Graduates Entered Pennsylvania Workforce (Students with Disabilities)	workforce_grads_sped
Percent Graduates Entered Pennsylvania Workforce (White)	workforce_grads_white
Percent Graduates Post Secondary Education (2 or More Races)	college_grads_multiracial
Percent Graduates Post Secondary Education (All Students)	college_grads_all
Percent Graduates Post Secondary Education (American Indian/Alaska Native)	college_grads_american_indian_alaskan_native
Percent Graduates Post Secondary Education (Asian)	college_grads_asian
Percent Graduates Post Secondary Education (Black)	college_grads_black
Percent Graduates Post Secondary Education (Economically Disadvantaged)	college_grads_poor
Percent Graduates Post Secondary Education (English Learner)	college_grads_english_learner
Percent Graduates Post Secondary Education (Hawaiian/Pacific Islander)	college_grads_hawaiian_pacific_islander
Percent Graduates Post Secondary Education (Hispanic)	college_grads_hispanic
Percent Graduates Post Secondary Education (Students with Disabilities)	college_grads_sped
Percent Graduates Post Secondary Education (White)	college_grads_white
Percent Graduates: Post Secondary Transition to School, Military, or Work (All Students)	college_military_workforce_grads_all
Percent Graduation 4-Year Cohort (2 or More Races)	four_year_grads_mutliracial
Percent Graduation 4-Year Cohort (All Student)	four_year_grads_all
Percent Graduation 4-Year Cohort (American Indian/Alaska Native)	four_year_grads_american_indian_alaskan_native
Percent Graduation 4-Year Cohort (Asian)	four_year_grads_asian
Percent Graduation 4-Year Cohort (Black)	four_year_grads_black
Percent Graduation 4-Year Cohort (Combined Ethnicity)	four_year_grads_combined_ethnicity
Percent Graduation 4-Year Cohort (Economically Disadvantaged)	four_year_grads_poor
